spanish,french,category,icon,tags,notes,cloze,french_sentence
camino,je marche,verbos,,acción,Camino por el bosque.,(je marche) {{c1::Camino}} por el bosque.,Je marche dans la forêt.
voy / vamos,je vais / nous allons,verbos,,acción,Vamos al castillo antes de que anochezca.,(nous allons) {{c1::Vamos}} al castillo antes de que anochezca.,Nous allons au château avant la tombée de la nuit.
sigo, je continue, verbos,,acción, Sigo recto por el camino hasta llegar al cruce.,(je continue) {{c1::Sigo}} recto por el camino hasta llegar al cruce., Je continue tout droit sur le chemin jusqu'au croisement.
giro, je tourne,  verbos,, acción, Giro a la derecha cuando veo la señal de la posada., (Je tourne) {{c1::Giro}}  a la derecha., Je tourne à droite.
abro, j'ouvre, verbos,delapouite/door-handle.svg,acción,Abro la puerta lentamente para ver qué hay al otro lado.,(j'ouvre la porte) {{c1::Abro la puerta}} lentamente para ver qué hay al otro lado.,J'ouvre la porte lentement pour voir ce qu'il y a de l'autre côté.
veo,je vois,verbos,delapouite/angry-eyes.svg,percepción,Veo algo extraño entre los árboles del bosque.,(je vois) {{c1::Veo}} algo extraño entre los árboles del bosque.,Je vois quelque chose d'étrange entre les arbres de la forêt.
escucho,j'entends,verbos,delapouite/sound-on.svg,percepción,Escucho un ruido misterioso que viene de la cueva.,(j'entends) {{c1::Escucho}} un ruido misterioso que viene de la cueva.,J'entends un bruit mystérieux qui vient de la caverne.
huelo,je sens (odeur),verbos,delapouite/nose-side.svg,percepción,Huelo algo raro en esta parte del bosque.,(je sens) {{c1::Huelo}} algo raro en esta parte del bosque.,Je sens quelque chose de bizarre dans cette partie de la forêt.
hay,il y a,verbos,delapouite/position-marker.svg,entorno,Hay un río grande que bloquea el camino de los aventureros.,(il y a) {{c1::Hay}} un río grande que bloquea el camino de los aventureros.,Il y a une grande rivière qui bloque le chemin des aventuriers.
aquí,ici,frases,,demostrativos,Los aventureros están aquí en la taberna.,(ici) Los aventureros están {{c1::aquí}} en la taberna.,Les aventuriers sont ici à la taverne.
el camino,le chemin,entorno,delapouite/path-distance.svg,entorno,Los aventureros siguen el camino a través del bosque oscuro.,(chemin) Los aventureros siguen {{c1::el camino}} a través del bosque oscuro.,Les aventuriers suivent le chemin à travers la forêt sombre.
el mapa,la carte,equipo,lorc/treasure-map.svg,equipamiento,El mapa muestra el camino hacia la mazmorra secreta.,(carte) {{c1::El mapa}} muestra el camino hacia la mazmorra secreta.,La carte montre le chemin vers le donjon secret.
el norte,le nord,frases,lorc/compass.svg,direcciones,Los aventureros viajan hacia el norte para encontrar la torre.,(nord) Los aventureros viajan hacia {{c1::el norte}} para encontrar la torre.,Les aventuriers voyagent vers le nord pour trouver la tour.
el sur,le sud,frases,lorc/compass.svg,direcciones,Los aventureros caminan hacia el sur para llegar al río.,(sud) Los aventureros caminan hacia {{c1::el sur}} para llegar al río.,Les aventuriers marchent vers le sud pour arriver à la rivière.
el este,l'est,frases,lorc/compass.svg,direcciones,El sol sale por el este e ilumina el camino.,(est) El sol sale por {{c1::el este}} e ilumina el camino.,Le soleil se lève à l'est et illumine le chemin.
el oeste,l'ouest,frases,lorc/compass.svg,direcciones,El bosque encantado se encuentra hacia el oeste.,(ouest) El bosque encantado se encuentra hacia {{c1::el oeste}}.,La forêt enchantée se trouve vers l'ouest.
todo recto,tout droit,frases,lorc/compass.svg,direcciones,El camino bifurca pero debemos seguir todo recto.,(tout droit) Los aventureros siguen {{c1::todo recto}} sin desviarse del sendero.,Les aventuriers continuent tout droit sans dévier du sentier.
la izquierda,la gauche,frases,lorc/compass.svg,direcciones,Giro a la izquierda cuando veo el árbol gigante.,(gauche) Giro a {{c1::la izquierda}} cuando veo el árbol gigante.,Je tourne à gauche quand je vois l'arbre géant.
la derecha,la droite,frases,lorc/compass.svg,direcciones,Debemos ir a la derecha para evitar al monstruo.,(droite) Debemos ir a {{c1::la derecha}} para evitar al monstruo.,Nous devons aller à droite pour éviter le monstre.
arriba,en haut,direcciones,,direcciones,"La habitación del mago está arriba, al final de las escaleras.","(en haut) La habitación del mago está {{c1::arriba}}, al final de las escaleras.","La chambre du mage est en haut, au bout des escaliers."
abajo,en bas,direcciones,,direcciones,"La mazmorra está abajo, debajo de la torre del castillo.","(en bas) La mazmorra está {{c1::abajo}}, debajo de la torre del castillo.","Le donjon est en bas, sous la tour du château."
el bosque,la forêt,entorno,lorc/pine-tree.svg,entorno,El bosque es oscuro y lleno de criaturas misteriosas.,(forêt) {{c1::El bosque}} es oscuro y lleno de criaturas misteriosas.,La forêt est sombre et pleine de créatures mystérieuses.
el río,la rivière,entorno,delapouite/river.svg,entorno,El río es muy profundo para cruzar a pie.,(rivière) {{c1::El río}} es muy profundo para cruzar a pie.,La rivière est trop profonde pour traverser à pied.

